Clave_de_entidad,Entidad_federativa,Clave_de_municipio,Municipio,Poblacion_total,Porcentaje_poblacion_carencia,Personas_carencia_alimentacion
30,Veracruz de Ignacio de la Llave,30030,Camerino Z. Mendoza,43302,22.6,9777
30,Veracruz de Ignacio de la Llave,30031,Carrillo Puerto,23157,20.2,4686
30,Veracruz de Ignacio de la Llave,30032,Catemaco,57557,42.1,24258
30,Veracruz de Ignacio de la Llave,30033,Cazones de Herrera,29129,33.9,9870
30,Veracruz de Ignacio de la Llave,30034,Cerro Azul,25577,20.3,5185
30,Veracruz de Ignacio de la Llave,30035,Citlaltépetl,14096,26.1,3673
30,Veracruz de Ignacio de la Llave,30036,Coacoatzintla,12134,18.8,2284
30,Veracruz de Ignacio de la Llave,30037,Coahuitlán,8461,43.4,3674
30,Veracruz de Ignacio de la Llave,30038,Coatepec,93258,14.2,13220
30,Veracruz de Ignacio de la Llave,30039,Coatzacoalcos,279696,22.7,63618
30,Veracruz de Ignacio de la Llave,30040,Coatzintla,53573,26.2,14021
30,Veracruz de Ignacio de la Llave,30041,Coetzala,2437,31.7,772
30,Veracruz de Ignacio de la Llave,30042,Colipa,5943,18.5,1097
30,Veracruz de Ignacio de la Llave,30043,Comapa,24185,26.3,6352
30,Veracruz de Ignacio de la Llave,30044,Córdoba,198275,11.5,22846
30,Veracruz de Ignacio de la Llave,30045,Cosamaloapan de Carpio,51977,24.8,12898
30,Veracruz de Ignacio de la Llave,30046,Cosautlán de Carvajal,17880,7.9,1414
30,Veracruz de Ignacio de la Llave,30047,Coscomatepec,71977,21.7,15585
30,Veracruz de Ignacio de la Llave,30048,Cosoleacaque,129387,21.7,28131
30,Veracruz de Ignacio de la Llave,30049,Cotaxtla,24686,34.5,8508
30,Veracruz de Ignacio de la Llave,30050,Coxquihui,19496,42,8197
30,Veracruz de Ignacio de la Llave,30051,Coyutla,27170,27.1,7352
30,Veracruz de Ignacio de la Llave,30052,Cuichapa,12457,30.6,3812
30,Veracruz de Ignacio de la Llave,30053,Cuitláhuac,28510,14.6,4176
30,Veracruz de Ignacio de la Llave,30054,Chacaltianguis,11484,24.2,2774
30,Veracruz de Ignacio de la Llave,30055,Chalma,15864,22.8,3620
30,Veracruz de Ignacio de la Llave,30056,Chiconamel,6841,21,1435
30,Veracruz de Ignacio de la Llave,30057,Chiconquiaco,18160,16.5,2988
30,Veracruz de Ignacio de la Llave,30058,Chicontepec,62246,33.1,20609
30,Veracruz de Ignacio de la Llave,30059,Chinameca,24936,29,7228
30,Veracruz de Ignacio de la Llave,30060,Chinampa de Gorostiza,18533,17,3151
30,Veracruz de Ignacio de la Llave,30061,Las Choapas,86339,25.7,22176
30,Veracruz de Ignacio de la Llave,30062,Chocamán,24358,22.3,5420
30,Veracruz de Ignacio de la Llave,30063,Chontla,15400,19.7,3033
30,Veracruz de Ignacio de la Llave,30064,Chumatlán,4148,57.2,2372
30,Veracruz de Ignacio de la Llave,30065,Emiliano Zapata,85403,14,11985
30,Veracruz de Ignacio de la Llave,30066,Espinal,31087,31.3,9735
30,Veracruz de Ignacio de la Llave,30067,Filomeno Mata,21232,40.4,8575
30,Veracruz de Ignacio de la Llave,30068,Fortín,68552,19.7,13524
30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,24790,26.2,6484
30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,21348,34.6,7386
30,Veracruz de Ignacio de la Llave,30071,Huatusco,64621,16.6,10756
30,Veracruz de Ignacio de la Llave,30072,Huayacocotla,25834,16.3,4207
30,Veracruz de Ignacio de la Llave,30073,Hueyapan de Ocampo,49004,32.5,15922
30,Veracruz de Ignacio de la Llave,30074,Huiloapan de Cuauhtémoc,7547,21.3,1608
30,Veracruz de Ignacio de la Llave,30075,Ignacio de la Llave,18732,32,5998
30,Veracruz de Ignacio de la Llave,30076,Ilamatlán,13844,17.6,2442
30,Veracruz de Ignacio de la Llave,30077,Isla,43207,38.1,16472
30,Veracruz de Ignacio de la Llave,30078,Ixcatepec,13164,21.5,2828
30,Veracruz de Ignacio de la Llave,30079,Ixhuacán de los Reyes,13268,20.8,2756
30,Veracruz de Ignacio de la Llave,30080,Ixhuatlán del Café,28424,16.1,4588
30,Veracruz de Ignacio de la Llave,30081,Ixhuatlancillo,28170,35.9,10127
30,Veracruz de Ignacio de la Llave,30082,Ixhuatlán del Sureste,16041,31.3,5026
30,Veracruz de Ignacio de la Llave,30083,Ixhuatlán de Madero,61136,45,27515
30,Veracruz de Ignacio de la Llave,30084,Ixmatlahuacan,5768,16.6,955
30,Veracruz de Ignacio de la Llave,30085,Ixtaczoquitlán,72681,19.8,14393
30,Veracruz de Ignacio de la Llave,30086,Jalacingo,51466,22.9,11777
30,Veracruz de Ignacio de la Llave,30087,Xalapa,460146,11.7,53872
30,Veracruz de Ignacio de la Llave,30088,Jalcomulco,5230,8.2,430
30,Veracruz de Ignacio de la Llave,30089,Jáltipan,42444,46.7,19827
30,Veracruz de Ignacio de la Llave,30090,Jamapa,12293,27.9,3434
30,Veracruz de Ignacio de la Llave,30091,Jesús Carranza,33409,38.6,12884
30,Veracruz de Ignacio de la Llave,30092,Xico,43252,15.9,6875
30,Veracruz de Ignacio de la Llave,30093,Jilotepec,17492,16.5,2883
30,Veracruz de Ignacio de la Llave,30094,Juan Rodríguez Clara,43642,27.5,12000
30,Veracruz de Ignacio de la Llave,30095,Juchique de Ferrer,17092,15.9,2713
30,Veracruz de Ignacio de la Llave,30096,Landero y Coss,1597,7,112
30,Veracruz de Ignacio de la Llave,30097,Lerdo de Tejada,17761,26.5,4714
30,Veracruz de Ignacio de la Llave,30098,Magdalena,3414,19.8,675
30,Veracruz de Ignacio de la Llave,30099,Maltrata,22493,15.1,3403
30,Veracruz de Ignacio de la Llave,30100,Manlio Fabio Altamirano,25672,26.7,6863
30,Veracruz de Ignacio de la Llave,30101,Mariano Escobedo,43714,30.8,13471
30,Veracruz de Ignacio de la Llave,30102,Martínez de la Torre,112949,19.6,22087
30,Veracruz de Ignacio de la Llave,30103,Mecatlán,13246,32.8,4343
30,Veracruz de Ignacio de la Llave,30104,Mecayapan,19384,45.7,8852
30,Veracruz de Ignacio de la Llave,30105,Medellín,94064,16.9,15860
30,Veracruz de Ignacio de la Llave,30106,Miahuatlán,5010,11.4,572
30,Veracruz de Ignacio de la Llave,30107,Las Minas,3036,27.6,839
30,Veracruz de Ignacio de la Llave,30108,Minatitlán,141040,25.8,36378
30,Veracruz de Ignacio de la Llave,30109,Misantla,67628,18.2,12333
30,Veracruz de Ignacio de la Llave,30110,Mixtla de Altamirano,12548,42.7,5358
30,Veracruz de Ignacio de la Llave,30111,Moloacán,16529,18.4,3038
30,Veracruz de Ignacio de la Llave,30112,Naolinco,24544,15.9,3898
30,Veracruz de Ignacio de la Llave,30113,Naranjal,4775,35.5,1695
30,Veracruz de Ignacio de la Llave,30114,Nautla,10699,16,1713
30,Veracruz de Ignacio de la Llave,30115,Nogales,39422,14.3,5626
30,Veracruz de Ignacio de la Llave,30116,Oluta,18777,30.4,5707
30,Veracruz de Ignacio de la Llave,30117,Omealca,25922,29.1,7534
30,Veracruz de Ignacio de la Llave,30118,Orizaba,110536,12.8,14176
30,Veracruz de Ignacio de la Llave,30119,Otatitlán,5848,25.6,1496
30,Veracruz de Ignacio de la Llave,30120,Oteapan,11181,31.8,3552
30,Veracruz de Ignacio de la Llave,30121,Ozuluama de Mascareñas,25468,21.6,5511
30,Veracruz de Ignacio de la Llave,30122,Pajapan,20958,52.4,10976
30,Veracruz de Ignacio de la Llave,30123,Pánuco,95461,21,20057
30,Veracruz de Ignacio de la Llave,30124,Papantla,177576,30.4,54059
30,Veracruz de Ignacio de la Llave,30125,Paso del Macho,33587,14.8,4965
30,Veracruz de Ignacio de la Llave,30126,Paso de Ovejas,33039,22.8,7541
30,Veracruz de Ignacio de la Llave,30127,La Perla,29244,42.2,12346
30,Veracruz de Ignacio de la Llave,30128,Perote,82926,22.2,18428
30,Veracruz de Ignacio de la Llave,30129,Platón Sánchez,18762,22.4,4203
30,Veracruz de Ignacio de la Llave,30130,Playa Vicente,47018,34.8,16383
30,Veracruz de Ignacio de la Llave,30131,Poza Rica de Hidalgo,185184,20.8,38480
30,Veracruz de Ignacio de la Llave,30132,Las Vigas de Ramírez,23440,17.2,4036
30,Veracruz de Ignacio de la Llave,30133,Pueblo Viejo,57420,18.8,10814
30,Veracruz de Ignacio de la Llave,30134,Puente Nacional,23718,17.8,4231
30,Veracruz de Ignacio de la Llave,30135,Rafael Delgado,26963,27.3,7348
30,Veracruz de Ignacio de la Llave,30136,Rafael Lucio,8634,6.2,535
30,Veracruz de Ignacio de la Llave,30137,Los Reyes,6528,11.9,778
30,Veracruz de Ignacio de la Llave,30138,Río Blanco,38729,12,4646
30,Veracruz de Ignacio de la Llave,30139,Saltabarranca,6340,15.3,969
30,Veracruz de Ignacio de la Llave,30140,San Andrés Tenejapan,3243,40.5,1314
30,Veracruz de Ignacio de la Llave,30141,San Andrés Tuxtla,188949,45.3,85595
30,Veracruz de Ignacio de la Llave,30142,San Juan Evangelista,37221,28.5,10592
30,Veracruz de Ignacio de la Llave,30143,Santiago Tuxtla,66067,51.4,33974
30,Veracruz de Ignacio de la Llave,30144,Sayula de Alemán,39606,35.7,14157
30,Veracruz de Ignacio de la Llave,30145,Soconusco,18144,32.1,5827
30,Veracruz de Ignacio de la Llave,30146,Sochiapa,4062,23.3,947
30,Veracruz de Ignacio de la Llave,30147,Soledad Atzompa,25435,34,8647
30,Veracruz de Ignacio de la Llave,30148,Soledad de Doblado,31275,26.6,8331
30,Veracruz de Ignacio de la Llave,30149,Soteapan,38617,48.2,18600
30,Veracruz de Ignacio de la Llave,30150,Tamalín,12814,27.1,3478
30,Veracruz de Ignacio de la Llave,30151,Tamiahua,25072,27.2,6821
30,Veracruz de Ignacio de la Llave,30152,Tampico Alto,13155,19.9,2612
30,Veracruz de Ignacio de la Llave,30153,Tancoco,5997,16.1,968
30,Veracruz de Ignacio de la Llave,30154,Tantima,14383,22.2,3187
30,Veracruz de Ignacio de la Llave,30155,Tantoyuca,112296,38.2,42849
30,Veracruz de Ignacio de la Llave,30156,Tatatila,6252,19.4,1211
30,Veracruz de Ignacio de la Llave,30157,Castillo de Teayo,24982,28.2,7037
30,Veracruz de Ignacio de la Llave,30158,Tecolutla,27140,29.9,8121
30,Veracruz de Ignacio de la Llave,30159,Tehuipango,30722,9.5,2928
30,Veracruz de Ignacio de la Llave,30160,Álamo Temapache,117703,19.1,22455
30,Veracruz de Ignacio de la Llave,30161,Tempoal,36351,20.6,7487
30,Veracruz de Ignacio de la Llave,30162,Tenampa,6673,32,2136
30,Veracruz de Ignacio de la Llave,30163,Tenochtitlán,5216,13.1,682
30,Veracruz de Ignacio de la Llave,30164,Teocelo,17602,6.9,1222
30,Veracruz de Ignacio de la Llave,30165,Tepatlaxco,9236,18.4,1703
30,Veracruz de Ignacio de la Llave,30166,Tepetlán,9733,21.4,2079
30,Veracruz de Ignacio de la Llave,30167,Tepetzintla,16651,28.8,4799
30,Veracruz de Ignacio de la Llave,30168,Tequila,16913,21.4,3626
30,Veracruz de Ignacio de la Llave,30169,José Azueta,23316,28.6,6659
30,Veracruz de Ignacio de la Llave,30170,Texcatepec,11202,38.5,4315
30,Veracruz de Ignacio de la Llave,30171,Texhuacán,5769,29.7,1713
30,Veracruz de Ignacio de la Llave,30172,Texistepec,24150,29.9,7216
30,Veracruz de Ignacio de la Llave,30173,Tezonapa,60924,26.1,15894
30,Veracruz de Ignacio de la Llave,30174,Tierra Blanca,94256,20,18830
30,Veracruz de Ignacio de la Llave,30175,Tihuatlán,105382,24.1,25364
30,Veracruz de Ignacio de la Llave,30176,Tlacojalpan,4646,17.5,815
30,Veracruz de Ignacio de la Llave,30177,Tlacolulan,13183,16.3,2154
30,Veracruz de Ignacio de la Llave,30178,Tlacotalpan,12313,30.9,3808
30,Veracruz de Ignacio de la Llave,30179,Tlacotepec de Mejía,4433,12.9,572
30,Veracruz de Ignacio de la Llave,30180,Tlachichilco,11280,23.4,2644
30,Veracruz de Ignacio de la Llave,30181,Tlalixcoyan,39441,26.1,10312
30,Veracruz de Ignacio de la Llave,30182,Tlalnelhuayocan,21990,20,4388
30,Veracruz de Ignacio de la Llave,30183,Tlapacoyan,61822,23.9,14775
30,Veracruz de Ignacio de la Llave,30184,Tlaquilpa,8210,26.4,2164
30,Veracruz de Ignacio de la Llave,30185,Tlilapan,5742,29.9,1716
30,Veracruz de Ignacio de la Llave,30186,Tomatlán,7448,19.2,1432
30,Veracruz de Ignacio de la Llave,30187,Tonayán,6318,8.8,554
30,Veracruz de Ignacio de la Llave,30188,Totutla,20103,13.2,2645
30,Veracruz de Ignacio de la Llave,30189,Tuxpan,154835,12.8,19878
30,Veracruz de Ignacio de la Llave,30190,Tuxtilla,2337,24.1,562
30,Veracruz de Ignacio de la Llave,30191,Ursulo Galván,27591,13.9,3844
30,Veracruz de Ignacio de la Llave,30192,Vega de Alatorre,20557,18.2,3748
30,Veracruz de Ignacio de la Llave,30193,Veracruz,560020,15.1,84801
30,Veracruz de Ignacio de la Llave,30194,Villa Aldama,13920,14.3,1984
30,Veracruz de Ignacio de la Llave,30195,Xoxocotla,6106,33,2014
30,Veracruz de Ignacio de la Llave,30196,Yanga,18655,28.9,5388
30,Veracruz de Ignacio de la Llave,30197,Yecuatla,13030,22.2,2889
30,Veracruz de Ignacio de la Llave,30198,Zacualpan,7025,23.5,1653
30,Veracruz de Ignacio de la Llave,30199,Zaragoza,13301,33.4,4444
30,Veracruz de Ignacio de la Llave,30200,Zentla,14603,13,1901
30,Veracruz de Ignacio de la Llave,30201,Zongolica,54330,26.3,14266
30,Veracruz de Ignacio de la Llave,30202,Zontecomatlán de López y Fuentes,15155,57.8,8766
30,Veracruz de Ignacio de la Llave,30203,Zozocolco de Hidalgo,15031,47.5,7143
30,Veracruz de Ignacio de la Llave,30204,Agua Dulce,43298,23.2,10045
30,Veracruz de Ignacio de la Llave,30205,El Higo,20388,19,3879
30,Veracruz de Ignacio de la Llave,30206,Nanchital de Lázaro Cárdenas del Río,26425,25.1,6642
30,Veracruz de Ignacio de la Llave,30207,Tres Valles,47687,23.7,11282
30,Veracruz de Ignacio de la Llave,30208,Carlos A. Carrillo,20472,22.6,4633
30,Veracruz de Ignacio de la Llave,30209,Tatahuicapan de Juárez,16646,46.8,7786
30,Veracruz de Ignacio de la Llave,30210,Uxpanapa,36236,48.6,17617
30,Veracruz de Ignacio de la Llave,30211,San Rafael,30994,15.6,4836
30,Veracruz de Ignacio de la Llave,30212,Santiago Sochiapan,17340,45.9,7952
31,Yucatán,31001,Abalá,6376,11.1,708
31,Yucatán,31002,Acanceh,17410,17.2,3000
31,Yucatán,31003,Akil,12229,32.2,3940
31,Yucatán,31004,Baca,6031,16.2,978
31,Yucatán,31005,Bokobá,2110,22.7,479
31,Yucatán,31006,Buctzotz,8916,18,1607
31,Yucatán,31007,Cacalchén,7291,11.5,838
31,Yucatán,31008,Calotmul,3844,19.3,741
31,Yucatán,31009,Cansahcab,4348,22,954
31,Yucatán,31010,Cantamayec,2682,28.8,772
31,Yucatán,31011,Celestún,8167,37.9,3094
31,Yucatán,31012,Cenotillo,3637,25.2,916
31,Yucatán,31013,Conkal,16075,18.2,2921
31,Yucatán,31014,Cuncunul,1669,12.4,207
31,Yucatán,31015,Cuzamá,5413,7.3,393
31,Yucatán,31016,Chacsinkín,3022,12.1,366
31,Yucatán,31017,Chankom,4562,17.3,790
31,Yucatán,31018,Chapab,3295,15.6,515
31,Yucatán,31019,Chemax,35709,34,12138
31,Yucatán,31020,Chicxulub Pueblo,4378,11.5,506
31,Yucatán,31021,Chichimilá,9157,23.9,2186
31,Yucatán,31022,Chikindzonot,4247,22.7,964
31,Yucatán,31023,Chocholá,4734,15.5,732
31,Yucatán,31024,Chumayel,3158,27.9,882
31,Yucatán,31025,Dzán,5844,25.4,1486
31,Yucatán,31026,Dzemul,3526,20.4,720
31,Yucatán,31027,Dzidzantún,8124,17.1,1393
31,Yucatán,31028,Dzilam de Bravo,2858,22.5,642
31,Yucatán,31029,Dzilam González,6075,20.9,1269
31,Yucatán,31030,Dzitás,3909,21.8,853
31,Yucatán,31031,Dzoncauich,2743,12.7,348
31,Yucatán,31032,Espita,17171,40.7,6980
31,Yucatán,31033,Halachó,22030,29.5,6508
31,Yucatán,31034,Hocabá,6341,11.5,730
31,Yucatán,31035,Hoctún,6215,36.2,2253
31,Yucatán,31036,Homún,7876,19.9,1569
31,Yucatán,31037,Huhí,5111,22.6,1158
31,Yucatán,31038,Hunucmá,35397,25.7,9108
