Clave_de_entidad,Entidad_federativa,Clave_de_municipio,Municipio,Poblacion_total,Porcentaje_poblacion_carencia,Personas_carencia_alimentacion
31,Yucatán,31039,Ixil,4075,13.3,544
31,Yucatán,31040,Izamal,30040,29.4,8836
31,Yucatán,31041,Kanasín,141527,26,36828
31,Yucatán,31042,Kantunil,5406,20.1,1088
31,Yucatán,31043,Kaua,3315,11.8,390
31,Yucatán,31044,Kinchil,7330,22.9,1679
31,Yucatán,31045,Kopomá,2606,9,235
31,Yucatán,31046,Mama,3209,23,738
31,Yucatán,31047,Maní,5810,25.1,1460
31,Yucatán,31048,Maxcanú,24120,22,5306
31,Yucatán,31049,Mayapán,3860,27.2,1050
31,Yucatán,31050,Mérida,941438,19,178633
31,Yucatán,31051,Mocochá,3339,10.2,341
31,Yucatán,31052,Motul,39888,32.2,12861
31,Yucatán,31053,Muna,14868,30.3,4503
31,Yucatán,31054,Muxupip,2911,13.7,400
31,Yucatán,31055,Opichén,6892,24.3,1675
31,Yucatán,31056,Oxkutzcab,35877,27.9,10022
31,Yucatán,31057,Panabá,7560,26.4,1994
31,Yucatán,31058,Peto,24813,36.2,8986
31,Yucatán,31059,Progreso,62260,29.4,18289
31,Yucatán,31060,Quintana Roo,950,19.9,189
31,Yucatán,31061,Río Lagartos,3869,23.3,903
31,Yucatán,31062,Sacalum,4830,23.5,1134
31,Yucatán,31063,Samahil,5482,22.5,1233
31,Yucatán,31064,Sanahcat,1656,9.7,160
31,Yucatán,31065,San Felipe,2062,22.1,456
31,Yucatán,31066,Santa Elena,4108,22.5,926
31,Yucatán,31067,Seyé,10856,24.5,2655
31,Yucatán,31068,Sinanché,3121,22.4,700
31,Yucatán,31069,Sotuta,8729,24,2091
31,Yucatán,31070,Sucilá,3866,24,926
31,Yucatán,31071,Sudzal,1897,28.1,532
31,Yucatán,31072,Suma,1808,7.6,137
31,Yucatán,31073,Tahdziú,5699,24.9,1417
31,Yucatán,31074,Tahmek,3674,17.3,635
31,Yucatán,31075,Teabo,6738,20.7,1394
31,Yucatán,31076,Tecoh,17954,29.4,5275
31,Yucatán,31077,Tekal de Venegas,2612,24.1,629
31,Yucatán,31078,Tekantó,3648,11.6,423
31,Yucatán,31079,Tekax,43220,26.8,11573
31,Yucatán,31080,Tekit,11157,31.8,3552
31,Yucatán,31081,Tekom,3266,30.1,982
31,Yucatán,31082,Telchac Pueblo,3419,19.1,652
31,Yucatán,31083,Telchac Puerto,1864,15.2,283
31,Yucatán,31084,Temax,6850,30.3,2076
31,Yucatán,31085,Temozón,16245,27,4389
31,Yucatán,31086,Tepakán,2076,28.4,589
31,Yucatán,31087,Tetiz,5319,15.2,807
31,Yucatán,31088,Teya,1866,11.9,221
31,Yucatán,31089,Ticul,39828,26.9,10724
31,Yucatán,31090,Timucuy,7304,19.7,1436
31,Yucatán,31091,Tinum,13050,26.8,3495
31,Yucatán,31092,Tixcacalcupul,7679,34.8,2675
31,Yucatán,31093,Tixkokob,18909,17.7,3349
31,Yucatán,31094,Tixmehuac,5300,10.5,559
31,Yucatán,31095,Tixpéhual,5539,11,607
31,Yucatán,31096,Tizimín,82540,23,19000
31,Yucatán,31097,Tunkás,3586,29.7,1064
31,Yucatán,31098,Tzucacab,15837,32.2,5098
31,Yucatán,31099,Uayma,4080,32.3,1317
31,Yucatán,31100,Ucú,3942,14.3,563
31,Yucatán,31101,Umán,71067,27,19207
31,Yucatán,31102,Valladolid,84107,27.1,22818
31,Yucatán,31103,Xocchel,3360,19.8,664
31,Yucatán,31104,Yaxcabá,16226,33.6,5452
31,Yucatán,31105,Yaxkukul,3206,13.9,444
31,Yucatán,31106,Yobaín,2156,19.5,421
32,Zacatecas,32001,Apozol,6317,3.4,212
32,Zacatecas,32002,Apulco,4987,9.6,479
32,Zacatecas,32003,Atolinga,2298,9.2,212
32,Zacatecas,32004,Benito Juárez,4534,13.4,607
32,Zacatecas,32005,Calera,42738,15.9,6814
32,Zacatecas,32006,Cañitas de Felipe Pescador,8331,16.9,1405
32,Zacatecas,32007,Concepción del Oro,12217,11,1346
32,Zacatecas,32008,Cuauhtémoc,13610,23.2,3164
32,Zacatecas,32009,Chalchihuites,12175,14.7,1791
32,Zacatecas,32010,Fresnillo,235790,12.6,29608
32,Zacatecas,32011,Trinidad García de la Cadena,3393,4.5,153
32,Zacatecas,32012,Genaro Codina,8243,14,1155
32,Zacatecas,32013,General Enrique Estrada,6705,15.3,1027
32,Zacatecas,32014,General Francisco R. Murguía,20252,21.6,4375
32,Zacatecas,32015,El Plateado de Joaquín Amaro,1593,6,95
32,Zacatecas,32016,General Pánfilo Natera,23699,22.2,5253
32,Zacatecas,32017,Guadalupe,211070,15.2,32157
32,Zacatecas,32018,Huanusco,4589,9,414
32,Zacatecas,32019,Jalpa,25799,13,3366
32,Zacatecas,32020,Jerez,59353,13.9,8240
32,Zacatecas,32021,Jiménez del Teul,4506,21.3,962
32,Zacatecas,32022,Juan Aldama,19533,13,2532
32,Zacatecas,32023,Juchipila,12930,9.1,1179
32,Zacatecas,32024,Loreto,54887,19.9,10913
32,Zacatecas,32025,Luis Moya,13742,22,3026
32,Zacatecas,32026,Mazapil,20928,21.4,4485
32,Zacatecas,32027,Melchor Ocampo,2761,21.5,594
32,Zacatecas,32028,Mezquital del Oro,2473,5.8,144
32,Zacatecas,32029,Miguel Auza,23865,9.7,2316
32,Zacatecas,32030,Momax,2468,9.1,224
32,Zacatecas,32031,Monte Escobedo,8762,10.7,937
32,Zacatecas,32032,Morelos,12769,15,1912
32,Zacatecas,32033,Moyahua de Estrada,4571,4.5,205
32,Zacatecas,32034,Nochistlán de Mejía,29350,6.2,1832
32,Zacatecas,32035,Noria de Ángeles,17287,22.7,3932
32,Zacatecas,32036,Ojocaliente,45922,28.3,13002
32,Zacatecas,32037,Pánuco,16242,25.2,4086
32,Zacatecas,32038,Pinos,77083,27.4,21100
32,Zacatecas,32039,Río Grande,66448,17.8,11807
32,Zacatecas,32040,Sain Alto,21525,12.2,2624
32,Zacatecas,32041,El Salvador,2532,18.6,470
32,Zacatecas,32042,Sombrerete,65706,20.9,13763
32,Zacatecas,32043,Susticacán,1377,9.1,125
32,Zacatecas,32044,Tabasco,16085,12.4,1987
32,Zacatecas,32045,Tepechitlán,8397,7.4,624
32,Zacatecas,32046,Tepetongo,6549,12,789
32,Zacatecas,32047,Teúl de González Ortega,5405,6.7,364
32,Zacatecas,32048,Tlaltenango de Sánchez Román,28397,18.9,5371
32,Zacatecas,32049,Valparaíso,32249,18.7,6021
32,Zacatecas,32050,Vetagrande,10046,20.5,2064
32,Zacatecas,32051,Villa de Cos,33857,12.8,4319
32,Zacatecas,32052,Villa García,19878,12.1,2410
32,Zacatecas,32053,Villa González Ortega,14191,20.9,2968
32,Zacatecas,32054,Villa Hidalgo,20674,29,5985
32,Zacatecas,32055,Villanueva,32969,16.1,5321
32,Zacatecas,32056,Zacatecas,149864,14.1,21190
32,Zacatecas,32057,Trancoso,20270,26,5268
32,Zacatecas,32058,Santa María de la Paz,2792,13.6,380
